date,High_price,Low_price,Close_price,Open_price,group_volume,group_turnover,trading_session,return,y1,y2,target1,target2,group_time
2024/11/4 14:10,3934,3925.6,3926.6,3930.8,2006,2365020300,Day_afternoon,0.0006625891946991924,1,1,1,1,10
2024/11/4 14:20,3934,3928,3930.6,3932.2,1494,1761707520,Day_afternoon,0.0010186930168594177,1,1,1,1,10
2024/11/4 14:30,3943.8,3930.4,3932.2,3943.2,2946,3479480460,Day_afternoon,0.0004070625349819057,1,1,1,1,10
2024/11/4 14:40,3949.6,3941.2,3943.4,3947.2,3996,4730378940,Day_afternoon,0.0028482783174814674,1,1,1,1,10
2024/11/4 14:50,3960.8,3943.8,3947.4,3959,5514,6542082000,Day_afternoon,0.0010143530963129255,1,1,0,0,10
2024/11/4 15:00,3959,3959,3959,3959,1,1187700,Day_afternoon,0.002938643157521348,1,1,0,0,10
2024/11/5 9:20,3949,3949,3949,3949,0,0,Day_morning,-0.00252589,0,0,1,1,10
2024/11/5 9:30,3950.6,3936,3948.4,3949.2,8510,10066250280,Day_morning,-0.000151937,0,0,1,1,10
2024/11/5 9:40,3968,3946.8,3949.6,3967.4,6212,7372812780,Day_morning,0.0003039205754229446,1,1,1,1,10
2024/11/5 9:50,3988.8,3961.8,3967.4,3984.2,8096,9654589920,Day_morning,0.004506785497265575,1,1,1,1,10
2024/11/5 10:00,4011,3979.4,3983.2,4009.8,7983,9567692820,Day_morning,0.003982457024751751,1,1,1,1,10
2024/11/5 10:10,4042,4000.8,4009.4,4022.8,10413,12568392720,Day_morning,0.006577626029323325,1,1,0,0,10
2024/11/5 10:20,4027.8,4009,4022.8,4020.6,7432,8961089880,Day_morning,0.003342145957001108,1,1,0,0,10
2024/11/5 10:30,4023,4002.6,4020.4,4009.4,5724,6887896260,Day_morning,-0.000596599,0,0,1,1,10
2024/11/5 10:40,4021.8,4008,4009.6,4020.4,4694,5653717260,Day_morning,-0.0026863,0,0,0,0,10
2024/11/5 10:50,4021,4007,4020.8,4008.6,2682,3231176160,Day_morning,0.0027932960893854997,1,1,1,1,10
2024/11/5 11:00,4020.8,4005.4,4008.8,4020.4,2635,3172880880,Day_morning,-0.002984481,0,0,0,0,10
2024/11/5 11:10,4036,4012.8,4020.4,4017,5156,6227360220,Day_morning,0.0028936340051886056,1,1,1,1,10
2024/11/5 11:20,4048,4016.2,4017,4047.6,4501,5447070780,Day_morning,-0.000845687,0,0,0,0,10
2024/11/5 11:30,4047.8,4047.8,4047.8,4047.8,4,4857360,Day_morning,0.007667413492656205,1,1,1,1,10
2024/11/5 13:30,4058,4037,4042.2,4055.4,3396,4122760260,Day_afternoon,-0.001383468,0,0,1,1,10
2024/11/5 13:40,4058.6,4048.6,4055.8,4058.6,1848,2247518940,Day_afternoon,0.003364504477759711,1,1,0,0,10
2024/11/5 13:50,4058.4,4047.2,4058.4,4050.6,2111,2566675740,Day_afternoon,0.0006410572513437796,1,1,0,0,10
2024/11/5 14:00,4051.4,4031.2,4050.2,4041.6,4349,5269416240,Day_afternoon,-0.002020501,0,0,1,1,10
2024/11/5 14:10,4048.4,4039.6,4041.8,4044.8,1719,2085667200,Day_afternoon,-0.002073972,0,0,1,1,10
2024/11/5 14:20,4060,4044.8,4044.8,4057.2,3129,3806443560,Day_afternoon,0.0007422435548518624,1,1,1,1,10
2024/11/5 14:30,4069.4,4052.6,4057.2,4063.2,3359,4093118400,Day_afternoon,0.003065664556962,1,1,0,0,10
